api_key,app_name,app_store_url,app_details,app_submission_created_at,integrations,integration_count
5139092,ShopShare - ShopShare ‑ Digital Downloads 5.0 out of 5 stars,https://apps.shopify.com/shop-share,Remove the doubt and increase sales. Easily attach any free supporting file type to a specific product or page. Adding supporting files to products...,2025-04-21 21:33:37+00:00,"['Google Drive', 'Dropbox']",2
9039821,Prduct - Prduct,https://apps.shopify.com/prduct,The application serves as a synchronization manager between Prduct and Shopify with simple UI/UX experience for the easiest synchronization handlin...,2025-04-21 21:33:46+00:00,['Prduct'],1
7628590,merchOne: Print On Demand - Effortless Print-on-Demand Custom Wall Decor Fulfillment,https://apps.shopify.com/merchone,"High-margin custom wall decor print on demand products. Extended cut-off dates, high-volume capacity, and dedicated support for reliable fulfillment.",2025-04-21 21:34:03+00:00,"['Customily', 'Teeinblue', 'Shopify Checkout', 'Orderdesk']",4
3050026,Cartesan Shopping - Cartesan Shopping: Shopify Integration,https://apps.shopify.com/cartesan-shopping,Cartesan Shopping is now on Shopify. Create 3D models and display them on your Shopify store. View models in AR/VR. Visit cartesan.app to learn more.,2025-04-21 21:34:34+00:00,['Cartesan'],1
5549842,"Real ID ‑ ID verification - Real ID, modern ID verification for eCommerce",https://apps.shopify.com/real-id,"A.I. powered ID verification including verifying facial biometrics. Prevent fraud, chargebacks, automate real age verification, and protect rentals with KYC",2025-04-21 21:34:43+00:00,"['Customer Accounts', 'Shopify POS', 'Checkout Extensibility', 'Shopify Checkout', 'Shopify Flow']",5
2711782,Kaching Popup Discount Upsell - Increase sales with popups - Best Shopify Popup App in...,https://apps.shopify.com/popup-upsell,Maximise your Shopify store revenue with customisable upsell and cross-sell popups in your product pages.,2025-04-21 21:35:13+00:00,['Shopify Checkout'],1
7274038,Reactiv ‑ Mobile App Builder - Most powerful mobile app builder for Shopify stores,https://apps.shopify.com/reactiv-mobile-app-builder,Create native mobile apps for your Shopify store in minutes with our revolutionary AI powered app builder.,2025-04-21 21:35:22+00:00,"['Klaviyo', 'Recharge', 'Zendesk', 'Yotpo', 'Gorgias', 'Google Analytics']",6
2223167,Ultimate Postal Code Blocker - Prevent unwanted deliveries by blocking specific postal codes,https://apps.shopify.com/ultimate-zip-post-code-blocker,"In our world's remote islands and distant regions, complex addresses drive failed deliveries and rising costs. This app streamlines shipping by ins...",2025-04-21 21:35:46+00:00,['Shopify Checkout'],1
5122408,BookE ‑Rent Property & service - BookE - Create your own profitable property rental business,https://apps.shopify.com/dev-booke,"Run your own property rental business.  Set up options, offers and display your own guesst house with ease, in just a few clicks. No extra fee on transaction.",2025-04-21 21:35:51+00:00,"['Property', 'Airbnb', 'Services Rental', 'Product Rental', 'Rent', 'Retreat']",6
4065347,XCHANGE Integration - Connect your store to XCHANGE for automatic order processing,https://apps.shopify.com/xchange-plugin,"Are you a reseller on XCHANGE Market? If so, you can use this app to automatically reserve software license codes for each order your customers pla...",2025-04-21 21:35:57+00:00,['Customer Accounts'],1
5591546,Rock Delivery‑Date‑Picker - Allow customers to select order delivery date on cart page,https://apps.shopify.com/estimated-delivery-date-picker,Our app enables customers to pick a delivery date to get their items delivered. The App can be set and used on the Shopify store cart page. The con...,2025-04-21 21:36:07+00:00,['Online Store 2.0'],1
2541040,Inkybay ‑ Product Personalizer - Product customizer for custom print & personalization stores,https://apps.shopify.com/productsdesigner,"Product customizer & personalizer with custom size and price. Works for any custom products like jerseys, apparel, promotional items with DTG, Screenprint",2025-04-21 21:36:14+00:00,"['Shopify Checkout', 'Product Customizer', 'Pagefly Page Builder', 'Zapier (Add-On)']",4
2044925,BuzzEC - EC売上UP支援ツール,https://apps.shopify.com/buzzify,"20,000件以上の自社ECサイト支援の経験で培ったノウハウを、開業したばかりのショップから実績のあるショップまで幅広くご活用いただいています。...",2025-04-21 21:36:47+00:00,"['Facebook', 'TikTok', 'Line', 'Google']",4
1358884,Kudobuzz Product Reviews & UGC - Boost credibility and sales with reviews from different sites.,https://apps.shopify.com/kudobuzz-testimonials,"A fast-loading, fully customizable review app for building customer trust in your business. Display product, photo, & video reviews with beautifull...",2025-04-21 21:36:55+00:00,"['Etsy', 'Aliexpress', 'Amazon', 'Facebook', 'Google Shopping', 'Google']",6
6629831,ECA: Easy Loyalty & Rewards - Easy Loyalty and Rewards,https://apps.shopify.com/easy-loyalty-rewards,Easy Loyalty & Rewards App makes it simple to build lasting customer loyalty. Its incredibly fast setup takes only seconds and requires no coding. 24/7 Support,2025-04-21 21:37:03+00:00,"['Shopify Checkout', 'Easy Subscriptions App']",2
2060335,Today's Project: Buy Button - Consistently get more shoppers to buy your products: Risk Free,https://apps.shopify.com/sticky-buy-now-button,"If you’re looking to increase your sales and boost revenue, then your solution is Sticky Add to Cart, the app designed not only to increase your co...",2025-04-21 21:37:24+00:00,"['Shopify Reviews', 'Product Reviews Add-On', 'Judge.me', 'Yotpo Reviews', 'Google Analytics', 'Fb Pixel']",6
1320007,ReferGator - ReferGator All-in-one AI Powered Affiliate Software,https://apps.shopify.com/refergator,"Engage Customers, Boost Referrals: A cookie-less, GDPR-compliant Referral and Affiliate marketing tool designed exclusively for Online Shopify Stores",2025-04-21 21:37:32+00:00,['Shopify Checkout'],1
4611908,Picqer - Improve your warehouse: pick & ship orders faster,https://apps.shopify.com/picqer,"Picqer helps you make the processes in your warehouse smarter and more efficient. With Picqer you work more calmly, walk less, eliminate unnecessar...",2025-04-21 21:37:56+00:00,"['Postnl', 'Sendcloud', 'Picqer Mobile App', 'Shippo']",4
7879482,ReturnGO Returns & Exchanges - ReturnGO Returns & Exchanges,https://apps.shopify.com/returngo,"Automate returns & exchanges with a branded self-service returns portal for easy returns management. Manage your returns & exchanges in one place,",2025-04-21 21:38:04+00:00,"['Shippo', 'Usps', 'Sendcloud', 'Canada Post', 'Gorgias', 'Shipstation']",6
5766955,OneID Age Verification - Shopify Age Verification,https://apps.shopify.com/oneid,"Use OneID's Age Verification on Shopify to verify the age of your customers within seconds, no hassle or document uploads. Find out more today.",2025-04-21 21:38:26+00:00,['Shopify Checkout'],1
2778783,Reportei - Analyze the main digital marketing indicators on one screen!,https://apps.shopify.com/reportei,"Reportei is a reporting and dashboard tool designed for marketing teams managing multiple projects. It integrates with over 20 channels, including ...",2025-04-21 21:38:34+00:00,"['Over 20 Channels', 'Including']",2
9297134,"CAREBOX Package Protection - Eliminate the costs of lost, damaged, or stolen packages",https://apps.shopify.com/carebox-package-protection,"With CAREBOX Package Protection, customers will be given a way to protect their package in case their package is lost, damaged or stolen. CAREBOX o...",2025-04-21 21:39:05+00:00,['Shopify Checkout'],1
1196892,Webshoplocatie.nl - Keep your sales platforms up-to-date with Webshoplocatie.nl!,https://apps.shopify.com/webshoplocatie-nl,Store all your product information and stock levels in one place. Let our e-Shophub connect all relevant services with your webshop.,2025-04-21 21:39:25+00:00,"['Postnl', 'Peasy', 'Bol.Com', 'Gls', 'Dpd', 'Woocommerce']",6
8272648,FreeAgent - Set up an integration with your existing FreeAgent account.,https://apps.shopify.com/freeagent,"FreeAgent’s online accounting software is designed for small businesses to take control of their finances.

This integration imports your Shopify s...",2025-04-21 21:39:33+00:00,['Freeagent'],1
7794003,"Expandly - Connect your store to eBay, Amazon, Etsy, Xero & more",https://apps.shopify.com/expandly-1,"The all-in-one solution for eCommerce retailers to connect, manage and automate listing, inventory, orders, shipping & accounting.

Manage your lis...",2025-04-21 21:39:40+00:00,"['Etsy', 'Amazon', 'Ebay', 'Xero', 'Royal Mail', 'Wish']",6
2684439,Veeform ‑ Product Quiz Builder - Elevate your Sales with Product Recommendation Quizzes,https://apps.shopify.com/veeform-product-quiz-builder,"Enhance your e-commerce experience with Veeform's personalized product discovery quizzes, which empower customers to make informed choices and enri...",2025-04-21 21:39:48+00:00,"['Omnisend', 'Klaviyo', 'HubSpot', 'Zapier', 'Google Sheets', 'Shopify Checkout', 'Google Analytics']",7
8206434,"Platmart Bulk Price Editor - shopify bulk edit, change prices, compare at price, discount",https://apps.shopify.com/fast-bulk-price-editor,Shopify bulk price editor from Platmart. Change prices and schedule sales (discounts) from one app. Bulk edit compare at price Shopify,2025-04-21 21:39:56+00:00,['Markets'],1
7831772,InstaFeeds - Stylish & Unique Instagram Gallery with Shoppable Feed,https://apps.shopify.com/rock-instafeed,"Instafeed is a new tool from Rock Technolabs. It is a social media tool where businesses can share their Instagram feeds with customers, followers,...",2025-04-21 21:40:03+00:00,"['Facebook', 'Instagram']",2
1711367,MissedFits - Optimize forecasts and drive conversions using shopper data,https://apps.shopify.com/missed-fits,"MissedFits captures first-party data of items shoppers wanted to buy but can't due to out-of-stock issues, which allows merchants to determine miss...",2025-04-21 21:40:21+00:00,"['Shopify POS', 'Sendgrid']",2
1510069,WhatsApp for Teams by Rasayel - Drive product sales and support customers over WhatsApp,https://apps.shopify.com/whatsapp-by-rasayel,"Rasayel helps merchants run their sales and support teams over WhatsApp, with automated chatbots, an open API, a team inbox, mass messaging campaig...",2025-04-21 21:40:30+00:00,"['HubSpot', 'Zapier']",2
4985103,Timey: Actions on Time - Automate your scheduled actions,https://apps.shopify.com/timed-actions,"As a merchant you can schedule timers that execute actions at predefined time.

Currently following actions are supported:

* Switch the status of ...",2025-04-21 21:40:49+00:00,['Shopify Flow'],1
2571257,MGLogics Express SEO & Schema - Express SEO - SEO Automation App for Shopify,https://apps.shopify.com/express-seo,Express SEO helps you analyze your store's SEO optimization practices and determine what needs to be done.,2025-04-21 21:41:12+00:00,"['Search Console', 'Stamped.Io', 'Google Merchant Center', 'Judge.me']",4
9342430,Mulwi: Facebook Pixel - Facebook Pixel and Ads Report for Shopify store,https://apps.shopify.com/mulwi-facebook-pixel,"Use the Facebook CAPI & Ads to track the actions of website visitors, also known as conversion tracking. Create ad campaigns with Feeds and get rea...",2025-04-21 21:41:54+00:00,['Shopify Checkout'],1
5301626,CartMagician Augmented Reality - Create Unrivalled Shopping Experiences for Art & E-Commerce,https://apps.shopify.com/cartmagician-ar,"With CartMagician, you can convert 2D images and 3D models into try-before-you-buy Web AR and 3D product visuals, giving customers the best shopping experience.",2025-04-21 21:42:03+00:00,"['Built For Web Ar', 'View On Standard Web Browsers', 'No 3D Modelling Required', 'No Customer Apps To Download', 'Seamless Across Mobile Devices']",5
5261187,Inventora - Inventora,https://apps.shopify.com/inventora,"Automatically manage raw material inventory, keep track of production, and analyze data quickly. Gain insight of your inventory like never before!",2025-04-21 21:42:49+00:00,"['Etsy', 'Square', 'Wix']",3
6341241,Konvera: A/B Testing - Konvera: A/B Testing,https://apps.shopify.com/konvera,AI-powered split test suggestions—no guesswork needed! Launch new split tests in under 60 seconds.,2025-04-21 21:43:11+00:00,['Shopify Checkout'],1
1355994,Supercharged AI SMS Marketing - Supercharged SMS Shopify App driven by AI,https://apps.shopify.com/supercharged-sms,"Looking for an SMS marketing provider? Use Supercharged to converse 1:1 with customers, send automated SMS texts, build subscriber list, create segments & more.",2025-04-21 21:43:23+00:00,"['Zipify One Click Upsell', 'Shopify POS', 'Ping', 'Point Of Sale (Pos)', 'Klaviyo Email Marketing & Sms', 'Inbox']",6
8323719,"Koala Upsell Free Gift BOGO - Set up BOGO, free gifts, upsells, pop-ups, and product add-ons",https://apps.shopify.com/upsell-koala-gift,"Koala Free Gift & Upsell helps you boost revenue by adding free gifts, upsells, pop-ups, and product add-ons to the shopping experience. With featu...",2025-04-21 21:43:32+00:00,"['Shopify Checkout', 'Koala Bundles']",2
3846212,Bookly - Finaly a simple direct booking widget for hosts - Bookly,https://apps.shopify.com/bookly,"Bookly simplifies direct bookings for hosts on Shopify. Manage your listings, increase occupancy, market and grow your business by having freedom and control.",2025-04-21 21:43:39+00:00,"['Bookings.Com', 'Pricelabs', 'Icalendar', 'Airbnb', 'Vrbo']",5
6160124,Stamps.com Orders - Manage and Ship All Your Orders in One Place,https://apps.shopify.com/stamps-com-orders,"With Stamps.com you can automatically import orders from Shopify and other popular sales channels, and easily create shipping labels for those orde...",2025-04-21 21:43:48+00:00,"['Ups', 'Usps', 'Globalpost', 'Dhl Express']",4
8770851,ev4erp - Líder en ERP para PYMES,https://apps.shopify.com/ev4erp,ev4 es la solución en la nube que tiene todo lo que necesitas para gestionar tu negocio o empresa.,2025-04-21 21:44:19+00:00,"['Google Drive', 'Dropbox', 'Banca Virtual', 'Zapier']",4
4765044,Address Validator AddressHero - AddressHero - Adressvalidierung für Shopify,https://apps.shopify.com/addresshero,"Verbessere die Liefergenauigkeit und senke die Kosten für Onlinehändler mit AddressHero, der Shopify App zur automatischen Validierung von Lieferadressen.",2025-04-21 21:44:36+00:00,"['Shopify Checkout', 'Klaviyo', 'Customer Accounts']",3
3206702,Fatturify per Fatture in Cloud - Fatturify per Fatture in Cloud Sinc. fatture & prodotti,https://apps.shopify.com/fatturify-per-fatture-in-cloud,Connettiti in un click e sincronizza non solo tutte le fatture ma anche i prodotti da Shopify a Fatture InCloud e viceversa.,2025-04-21 21:44:45+00:00,"['Shopify Checkout', 'Fatture In Cloud', 'Customer Accounts']",3
5846641,Mega Social Icon Bar - Elevate Store Presence with Customizable Social Icons,https://apps.shopify.com/mega-social-icons-bar,Transform Shopify visitors into loyal followers with Mega Social Media Icons Bar. Unlock the potential for increased followership with custom social icons.,2025-04-21 21:44:52+00:00,"['Telegram', 'Linkedin', 'Wechat', 'Etsy', 'Youtube', 'WhatsApp']",6
8443565,VerticalResponse - Sync your site’s visitors into your email marketing campaigns.,https://apps.shopify.com/verticalresponse,Stores relevant customer data in your VerticalResponse subscriber list. Not only the name and email of your customers are stored in your VerticalRe...,2025-04-21 21:44:57+00:00,"['Verticalresponse', 'Privy']",2
2032581,"Discountly‑POS & Tier Discount - Offer Quantity Breaks,BFCM, Wholesale & Volume discount",https://apps.shopify.com/custom-tiered-discount,"Custom Tiered Discount app allows sellers to offer quantity breaks and special pricing to non-logged-in customers, special customers and groups of customers.",2025-04-21 21:45:03+00:00,"['Default Currency Convertor', 'Headless Commerce', 'Shopify POS', 'Shopify Checkout', 'Point Of Sale (Pos)', 'Smile: Loyalty & Rewards']",6
1899934,"Checkout Brew Upsells & Blocks - Customize checkout upsell, cross sell, branding, fields & more",https://apps.shopify.com/checkout-brew,"Maximize your sales with Checkout Brew, the ultimate checkout customizer! Boost AOV with seamless checkout upsells, cross-sells, and free shipping ...",2025-04-21 21:45:10+00:00,"['Checkout Extensibility', 'Functions', 'Shopify Checkout', 'Subscription Apps']",4
6403058,Yaco Progress Bar - Yaco Progress Bar - Increase your average order value,https://apps.shopify.com/upsellprogressbar,"Everytime your clients add a product to their cart, they are reminded that they can unlock gifts if they order more products.",2025-04-21 21:45:19+00:00,"['Sales Motivator - Free Gifts', 'Shopify Checkout', 'Pagefly', 'Vanga Ai', 'Weglot']",5
4693329,Section Store: Theme Sections - Section Store - Shopify Sections,https://apps.shopify.com/section-factory,Shopify Section Library. Add customisable sections to any theme & page,2025-04-21 21:45:25+00:00,['Theme Editor'],1
8704807,Shoplytics - Marketing analytics combining revenue with ad spend,https://apps.shopify.com/shoplytics-1,"# E-Commerce Intelligence

Unlock the power of universal reporting by combining your Shopify revenue data with your Facebook (and Google, coming so...",2025-04-21 21:45:43+00:00,['Facebook Ads'],1
6881933,Markivo Discount & Upsell - All in one app to create discount bundles for your...,https://apps.shopify.com/markivo-discount-upsell,"Create BOGO, BXG, fixed-bundle, mix-and-match sets, tiered spend-based offers and other variety discounts all in one app",2025-04-21 21:45:49+00:00,['Shopify Checkout'],1
1515029,Clean Sweeps: buy‑to‑enter - Sweepstakes App for Shopify,https://apps.shopify.com/clean-sweeps,"Customize storefront widgets, manage referrals, set bonus entries, and boost conversions. Turn customers into ambassadors with our referral and sweepstakes app",2025-04-21 21:45:59+00:00,['Shopify Checkout'],1
9523279,Digital Sales Man - Digital Salesman: AI-Powered Sales for the Modern Business,https://apps.shopify.com/digital-sales-man,"Discover how a Digital Salesman can revolutionize your online sales strategy. Boost revenue, streamline processes, and enhance customer engagement today.",2025-04-21 21:46:05+00:00,['Shopify Checkout'],1
5398969,TalentLMS - Sell your courses and enroll buyers to the courses they...,https://apps.shopify.com/talentlms,"With TalentLMS, you get one training platform that people actually go to learn. You can customize your portal to match your logo and color palette,...",2025-04-21 21:46:21+00:00,"['Bamboohr', 'Zoom', 'Salesforce', 'Zapier', 'Microsoft Teams', 'Gotomeeting']",6
4985596,Ongoing Subscriptions - Ongoing - Create Subscription Products on your Shopify Store,https://apps.shopify.com/ongoing-subscriptions,"Ongoing lets merchants easily offer a ""Subscribe & Save"" option on their products so customers can receive a product they love on a regular basis, with autopay",2025-04-21 21:47:00+00:00,"['Paypal Express', 'Multi Language', 'Authorize.Net', 'Shop Pay', 'Gpay', 'Stripe']",6
1228627,"Ship Tailor - Rename, Reorder or Hide your delivery options easily",https://apps.shopify.com/shipping-rules-reorder-rename-hide-rates,"Tailor the checkout process to manage shipping rates effectively, including features such as: 

- Blocking PO Box deliveries
- Offering unique ship...",2025-04-21 21:47:21+00:00,"['Fedex', 'Third Party Carriers', 'Dhl', 'Usps', 'Delivery Rates', 'Shopify Checkout', 'Ups']",7
9731685,"Vimotia Shoppable Videos & UGC - Shopify video App - Vimotia, shoppable videos on website",https://apps.shopify.com/video-marketing,"All-in-one solution to make shoppable videos & gallery, publish on your website. Provide TikTok-like video shopping experience in your store, boost extra sales.",2025-04-21 21:47:44+00:00,"['TikTok', 'Youtube', 'Facebook', 'Pinterest', 'Instagram']",5
6340874,"Sync to Wave - Import orders, customers and payouts into Wave Accounting",https://apps.shopify.com/wave-sync,Wave Accounting is financial software that is incredibly easy to use. Wave Sync is an automatic real time order syncing app for Shopify saving you ...,2025-04-21 21:47:56+00:00,['Wave Accounting'],1
5474566,"Zocket: Agency Ad Accounts - Whitelisted Agency Ad Accounts - Meta, Google, Snapchat, Tik",https://apps.shopify.com/zocket,"Zocket provides whitelisted agency ad accounts for Meta, Google, Snapchat, Tiktok. Stop struggling with ad account restrictions or sudden ad bans.",2025-04-21 21:48:23+00:00,"['Ad Accounts', 'Facebook Ads', 'Google Ads', 'Facebook Page', 'Facebook Business Manager']",5
2730703,Zoho Books Tools - Shopify automation and workflows,https://apps.shopify.com/zohobooks-tools,"Manage all your Shopify orders, customers, and product details in Zoho books to maintain your inventory and track all orders.",2025-04-21 21:48:31+00:00,['Zoho Books'],1
1957618,Cymbio - Automate all dropship and marketplace operations,https://apps.shopify.com/cymbio,Cymbio's marketplace & dropship automation platform empowers brands to seamlessly automate and manage all sales and operations: from data set-up an...,2025-04-21 21:48:37+00:00,"['TikTok', 'Shein', 'Farfetch', 'Shopee', 'Asos', 'Amazon', 'Macys', 'Netsuite', 'Loop Returns', 'Saks', 'Nordstrom', 'Mirakl']",12
3066293,Algolia AI Search & Discovery - Algolia AI Search & Discovery,https://apps.shopify.com/algolia-search,"Boost your store’s revenue with AI-powered search - unparalleled speed, increased conversions, and maximized average order value.",2025-04-21 21:48:54+00:00,['Shopify Flow'],1
6034785,"Foursixty Shoppable Social UGC - Foursixty - Shoppable Instagram, TikTok & UGC galleries",https://apps.shopify.com/foursixty,"Turn your Instagram, TikTok, UGC, and ambassador content into shoppable galleries for your online store, email campaigns, and more!",2025-04-21 21:49:00+00:00,"['TikTok', 'Shop Minis', 'Klaviyo', 'Shopify Checkout', 'Instagram']",5
4098386,Sender ‑ Auto Account Invite - Bulk & automatic account invites to activate customer accounts,https://apps.shopify.com/sender-auto-account-invite,"Sender Auto Account Invite enhances Shopify stores by automating customer account invites, saving time and boosting engagement. Ideal for busy merc...",2025-04-21 21:49:16+00:00,"['Facebook', 'Mailchimp', 'Klaviyo']",3
6014625,"OneCart: Shopee Lazada TikTok - Sync Shopee, Lazada, TikTok, Amazon to Shopify",https://apps.shopify.com/onecart,"Automate inventory tracking, sync Shopee to Shopify and Lazada to Shopify, and connect multiple ecommerce platforms like TikTok, RedMart, and more!",2025-04-21 21:49:32+00:00,"['Redmart', 'Shopee', 'Lazada', 'Amazon', 'Tiktok Shop', 'Zalora']",6
7491503,BundleSuite: Bundles Builder  - BundleSuite: All-In-One Product Bundle App For Shopify,https://apps.shopify.com/bundlesuite,"Create unlimited custom product bundles, BYOB, Fixed Bundle, Build A Box, Bundle Discount, Gift Box, Mix & Match on your Shopify store with the BundleSuite app.",2025-04-21 21:50:04+00:00,"['Online Store 2.0', 'Currency Converter', 'Shopify Checkout', 'Bundle', 'Product Bundles', 'Discount']",6
3473771,qikify Contact Form Builder - Shopify Contact Form Builder qikify - Collect Lead & More,https://apps.shopify.com/contact-form-by-qikify,"Powerful Shopify form builder to enhance customer engagement. Create form to collect leads, wholesale, custom order, survey, and more with no code. Free to try!",2025-04-21 21:50:16+00:00,"['Omnisend', 'Mailchimp', 'Klaviyo', 'Recaptcha', 'Shopify Flow']",5
5597618,TYDAL Product Reviews App - TYDAL Reviews – Collect photo reviews and ratings,https://apps.shopify.com/rivo-reviews,Build credibility by showing product reviews with a beautiful photo grid or list,2025-04-21 21:50:28+00:00,"['Klaviyo', 'Checkout Blocks', 'Rivo', 'Gorgias', 'Triple Whale']",5
1315915,Postship ‑ Free Order Tracking - Postship - The Ultimate Shipment Tracking App,https://apps.shopify.com/postship-1,"Track your packages effortlessly. Get real-time updates, notifications, and analytics for all your shipments. Boost brand loyalty & increase repurchases.",2025-04-21 21:50:46+00:00,"['Ups', 'Fedex', 'Usps']",3
1445750,Swipe Protect Orders & Revenue - Swipe App - Your Secure Delivery Solution,https://apps.shopify.com/swipe,"In today's paced world, online shopping has become a part of our daily lives. though the excitement of receiving a long-awaited package can quickly...",2025-04-21 21:50:52+00:00,['Shopify Checkout'],1
2959627,BoomGate: Checkout Validation - Validate and block checkout based on predefined conditions,https://apps.shopify.com/boomgate,"With custom rules builder you can create and deploy checkout constrains. Minimum and maximum item quantities, required customer/product tags combin...",2025-04-21 21:51:10+00:00,['Shopify Checkout'],1
3139461,SelfDesk: Order Edit & Upsell - SelfDesk: Post-purchase order edits & upsell,https://apps.shopify.com/selfdesk,Delight your customers with order flexibility while generating additional revenue,2025-04-21 21:51:58+00:00,['Customer Accounts'],1
9226598,Swiss Invoice: QR‑Bills - Swiss Invoice,https://apps.shopify.com/swiss-invoice,"Automate Swiss QR invoices generation, ensuring they’re only delivered to your Swiss customers.",2025-04-21 21:52:13+00:00,"['Thank You Page', 'Customer Accounts', 'Order Status Page', 'Shopify Checkout', 'Order Email Notifications', 'Swiss Banking Apps', 'Order Printer']",7
5455554,"Webkul Product Wishlist - Wish to buy a Product, Save it in Wishlist",https://apps.shopify.com/product-wishlist,"Customers can create a Wishlist of all the products they wish to buy on your store. Also, you can enable your Customers to create Wishlist Categori...",2025-04-21 21:52:29+00:00,['Product Auction'],1
1230824,eKomi Feedback - Automatically collect reviews to build trust and boost sales,https://apps.shopify.com/ekomi-feedback-1,"eKomi Feedback will allow you to collect verified, authentic product and customer ratings and reviews for your business. Once the product and custo...",2025-04-21 21:53:03+00:00,['Shopify Checkout'],1
9872714,Customall Product Personalizer - Customall - Personalized Product for Print on Demand Stores,https://apps.shopify.com/customall,Supercharge your Print on Demand store with Customall product personalizer. Design fast with more personalization options to boost sales!,2025-04-21 21:53:12+00:00,"['Printify', 'Gearment', 'Dreamship', 'Printful', 'Printway']",5
3227798,Omnium Maps - Add Google Maps with store locations to your store!,https://apps.shopify.com/maps-by-develic,Omnium Maps is a simple yet powerful store locator application for Shopify stores. Bring more customers to your business by showing them where they...,2025-04-21 21:53:21+00:00,['Google Maps'],1
1244447,Venn Apps ‑ Mobile App Builder - Shopify Mobile App Builder,https://apps.shopify.com/venn-apps,Turn your online store into a native iOS & Android mobile app with our no-code Shopify Mobile App Builder.,2025-04-21 21:53:29+00:00,"['Ometria', 'Fast Simon', 'Shopify Checkout', 'Klayvio', 'Yotpo', 'Facebook Sdk', 'Loyalty Lion']",7
